country_id,score_av,score_ec,score_pol,score_ed,score_h
1,0.91225,0.796,0.901,0.991,0.961
2,0.87875,0.8,0.765,0.989,0.961
3,0.8632500000000001,0.783,0.7,1.0,0.97
4,0.85575,0.732,0.725,1.0,0.966
5,0.81525,0.795,0.503,1.0,0.963
6,0.815,0.665,0.634,0.989,0.972
7,0.811,0.64,0.626,1.0,0.978
8,0.8017500000000001,0.784,0.443,1.0,0.98
9,0.8005,0.767,0.466,0.989,0.98
10,0.7954999999999999,0.728,0.486,1.0,0.968
11,0.7945,0.732,0.482,1.0,0.964
12,0.79425,0.699,0.541,0.963,0.974
13,0.7935,0.775,0.424,1.0,0.975
14,0.793,0.676,0.524,0.999,0.973
15,0.79175,0.731,0.472,0.999,0.965
16,0.79125,0.789,0.409,0.999,0.968
17,0.791,0.786,0.419,0.999,0.96
18,0.7905,0.722,0.475,0.998,0.967
19,0.7875,0.863,0.314,0.996,0.977
20,0.7875,0.676,0.497,0.998,0.979
21,0.78325,0.7,0.491,0.978,0.964
22,0.78175,0.771,0.377,1.0,0.979
23,0.78025,0.727,0.432,0.998,0.964
24,0.77925,0.894,0.263,0.993,0.967
25,0.7777499999999999,0.74,0.412,0.991,0.968
26,0.7775000000000001,0.692,0.542,0.896,0.98
27,0.7769999999999999,0.642,0.502,0.994,0.97
28,0.7765,0.684,0.46,1.0,0.962
29,0.7725000000000001,0.76,0.358,1.0,0.972
30,0.7705000000000001,0.74,0.374,1.0,0.968
31,0.7695000000000001,0.86,0.256,0.994,0.968
32,0.76525,0.745,0.352,0.991,0.973
33,0.7649999999999999,0.601,0.49,0.994,0.975
34,0.7642500000000001,0.683,0.45,0.96,0.964
35,0.7627499999999999,0.81,0.32,0.942,0.979
36,0.7625,0.644,0.429,1.0,0.977
37,0.7605000000000001,0.747,0.334,0.981,0.98
38,0.76025,0.697,0.376,0.999,0.969
39,0.76,0.895,0.287,0.896,0.962
40,0.7562500000000001,0.717,0.338,1.0,0.97
41,0.75175,0.819,0.217,0.991,0.98
42,0.75125,0.657,0.373,1.0,0.975
43,0.7482500000000001,0.78,0.248,0.995,0.97
44,0.7474999999999999,0.71,0.315,1.0,0.965
45,0.7465,0.801,0.214,0.991,0.98
46,0.74525,0.838,0.178,0.985,0.98
