country_id,intensity_depravation_perc,vulnerable_MP_pop,health_contribution,education_contribution,living_standard_contribution,under_national_poverty_line,under_PPP_$2.15_per_day,HDI,coefficient_human_inequality,richest_10percent_share,richest_1percent_share,gini_coefficient
21,,,,,,,,0.962,6.899906359666667,25.8,11.46,33.1
2,,,,,,,,0.961,5.435151510666667,22.4,8.88,27.7
1,,,,,,,,0.959,4.556437474333333,22.1,8.78,26.1
25,,,,,,,,0.951,7.640183183,26.6,11.28,34.3
23,,,,,,,,0.948,5.1869137216666665,23.5,12.91,27.7
5,,,,,,,,0.947,6.416554862666668,22.7,10.54,29.3
11,,,,,,,,0.945,6.161783203,25.1,11.8,30.6
6,,,,,,,,0.942,6.177129593,25.1,12.77,31.7
28,,,,,,,,0.941,6.6979453520000005,23.9,6.92,29.2
3,,,,,,,,0.94,5.224387065,23.0,10.88,27.7
49,,,,,,,,0.939,12.409716636,,14.21,
10,,,,,,,,0.937,6.587387026333334,22.3,8.63,27.2
4,,,,,,,,0.937,7.486808253666666,,11.87,
30,,,,,,,,0.936,7.901529772333334,25.3,13.91,33.3
165,,,,,,,,0.935,,,,
44,,,,,,,,0.93,8.413193197,25.8,10.37,34.2
15,,,,,,,,0.929,8.243507930666667,26.7,12.65,35.1
125,,,,,,,,0.925,7.894689109333332,26.4,13.11,32.9
105,,,,,,,,0.925,9.264535208,24.0,14.71,31.4
43,,,,,,,,0.921,10.638091575333334,30.8,19.06,41.5
84,,,,,,,,0.919,10.868130240666666,27.6,16.55,38.6
70,,,,,,,,0.918,7.425981436,24.8,9.14,31.0
29,,,,,,,,0.918,4.371241934,20.7,8.02,24.4
47,,,,,,,,0.916,6.904079794666667,23.2,10.09,30.2
71,,,,,,,,0.911,,20.0,15.83,26.0
18,,,,,,,,0.905,12.643022653666668,24.9,12.38,34.3
40,,,,,,,,0.903,8.485328055333333,26.7,9.84,32.4
106,,,,,,,,0.896,8.399155342333332,25.5,11.49,31.2
79,,,,,,,,0.895,11.221309115000002,25.9,8.71,35.2
22,,,,,,,,0.89,6.647519601666667,23.3,11.76,30.8
101,,,,,,,,0.889,4.378451582666667,21.5,10.04,25.3
93,,,,,,,,0.887,10.662714364,24.9,10.8,33.1
60,,,,,,,,0.876,6.831017672666666,24.0,14.87,30.2
113,,,,,,,,0.875,,,25.07,
9,,,,,,,,0.875,8.316025070666667,27.5,10.95,35.3
131,,,,,,,,0.875,,,20.98,
32,,,,,,,,0.866,10.569893086333332,26.0,9.59,32.8
13,,,,,,,,0.863,7.961744167333333,26.6,9.13,34.5
147,,,,,,,,0.858,,,,
56,,,,,,,,0.858,6.984191534,22.2,10.24,28.9
27,,,,,,,,0.855,14.973030491333333,35.8,27.07,44.9
133,,,,,,,,0.855,,,23.61,
178,,,,,,,,0.853,,,,
63,,,,,,,,0.848,5.168764951333333,18.8,7.04,23.2
99,,,,,,,,0.846,6.370349719666667,23.3,12.27,30.0
36,33.98602365,1.647459282,69.67953444,21.38198763,8.938478678,42.0,0.95884664,0.842,13.837300835,30.3,21.7,42.3
129,,,,,,,,0.838,14.195660998333333,31.6,18.84,41.9
69,39.64266099,2.888068791,58.46579671,22.31903523,19.21516657,22.6,2.839832998,0.832,9.010792995666668,26.0,9.69,36.8
120,,,,,,,,0.831,,,19.38,
96,,,,,,,,0.829,,,13.56,
