country_id,conflict_type,conflict_casualties,conflict_description
146,Civil War,"1,000 to 10,000","The conflict in Afghanistan has been ongoing for decades, with the most recent phase beginning in 2001 after the United States-led invasion. The conflict is characterized by a complex web of actors, including the Afghan government, the Taliban, various extremist groups, and foreign powers. The conflict has resulted in significant casualties and displacement, with estimates suggesting that tens of thousands of people have been killed and millions have been forced to flee their homes. Despite numerous attempts at peace talks and negotiations, the conflict continues to this day, with violence and insecurity continuing to impact the country. The withdrawal of US troops from Afghanistan in 2021 has further complicated the situation, with the Taliban regaining control of the country and raising concerns about human rights and stability."
144,Terrorist Insurgency,0 to 999,"The conflict in Algeria is primarily characterized by a long-standing terrorist insurgency, which began in the 1990s and has continued in various forms to this day. The insurgency was originally sparked by a political crisis in the country, and has since been driven by various extremist groups seeking to overthrow the government and establish their own Islamic state. While the violence associated with the conflict has decreased significantly in recent years, there are still occasional attacks and incidents of violence. The conflict has had significant human costs, with estimates suggesting that tens of thousands of people have been killed or injured. The government has implemented various counterterrorism measures to address the insurgency, but critics argue that these measures have often been heavy-handed and have led to human rights abuses."
138,Terrorist Insurgency,0 to 999,"Benin is currently experiencing a low-level terrorist insurgency, which has primarily been driven by the activities of Islamist extremist groups such as Boko Haram and Islamic State in West Africa (ISWA). While the conflict in Benin has not resulted in significant casualties compared to other countries in the region, there have been sporadic attacks and incidents of violence. The government has implemented various measures to address the insurgency, including increasing security forces in affected areas and working with international partners to strengthen border security. However, critics argue that these measures have often been heavy-handed and have resulted in human rights abuses. The conflict in Benin is part of a wider regional trend of Islamist extremism and terrorism, which has impacted countries across West Africa."
109,Terrorist Insurgency,"1,000 to 10,000","Burkina Faso is currently experiencing a significant terrorist insurgency, which has been driven by a variety of extremist groups including the Islamic State in the Greater Sahara (ISGS) and the Jama'at Nasr al-Islam wal Muslimin (JNIM). The conflict has been characterized by frequent attacks on civilians, government forces, and international organizations, with estimates suggesting that thousands of people have been killed and over a million have been displaced. The insurgency has been fueled by a variety of factors, including poverty, ethnic tensions, and competition for resources. The government has implemented various measures to address the conflict, including increasing security forces and working with international partners to strengthen regional cooperation. However, the conflict continues to be a major challenge for the country, and the government's response has been criticized for being ineffective and lacking in coordination."
94,Terrorist Insurgency,0 to 999,"Cameroon is currently facing a low-level terrorist insurgency, primarily driven by the activities of the extremist group Boko Haram. The conflict has resulted in sporadic attacks and incidents of violence, particularly in the northern region of the country. However, the conflict has also been characterized by the government's response, which has been criticized for human rights abuses and for exacerbating the conflict. In addition, the conflict has been complicated by ongoing tensions between the predominantly francophone government and the anglophone regions, which have experienced significant unrest and separatist movements in recent years. The government has implemented various measures to address the conflict, including increasing security forces and undertaking peace talks, but the situation remains a challenge for the country."
150,Civil War,0 to 999,"The Central African Republic has been experiencing a protracted civil war since 2012, which began when the Seleka, a predominantly Muslim rebel group, overthrew the government. The conflict has since evolved into a complex web of violence involving multiple armed groups, with both Muslim and Christian communities targeted in the violence. The conflict has resulted in significant casualties, with estimates suggesting that thousands of people have been killed and over a million have been displaced. The conflict has been driven by a variety of factors, including political instability, poverty, and ethnic tensions. The government, with the support of international peacekeeping forces, has been working to address the conflict through peace talks and security measures, but the situation remains volatile and violence continues to erupt in parts of the country."
145,Terrorist Insurgency,0 to 999,"Chad has been grappling with a low-level terrorist insurgency for several years, primarily driven by the activities of the extremist group Boko Haram. The conflict has resulted in numerous deadly attacks and incidents of violence, particularly in the Lake Chad region. In addition, the conflict has been complicated by ongoing tensions between the government and various rebel groups, particularly in the north and east of the country. The government has responded with increased military operations and security measures, but the conflict remains a challenge for the country. Furthermore, Chad has also experienced significant political instability in recent years, including the death of long-time President Idriss Deby and a subsequent military takeover, which has further complicated the country's ability to address the conflict."
42,Drug War,"1,000 to 10,000","Colombia has been engaged in a long-standing “drug war”, which has been fueled by drug trafficking, political violence, and the activities of various armed groups. The conflict has resulted in significant casualties, with estimates suggesting that over 220,000 people have been killed and millions have been displaced. The conflict has been complicated by the involvement of multiple actors, including drug cartels, paramilitary groups, guerrilla groups, and government forces. In recent years, the Colombian government has made efforts to address the conflict, including a peace deal with the largest guerrilla group, the Revolutionary Armed Forces of Colombia (FARC), in 2016. However, violence and unrest continue in parts of the country, particularly in areas with a significant presence of other armed groups, such as the National Liberation Army (ELN) and drug cartels."
140,Terrorist Insurgency,"1,000 to 10,000","The Democratic Republic of the Congo has been grappling with a long-standing conflict involving various armed groups, ethnic tensions, and political instability. The conflict has resulted in numerous casualties and has been fueled by competition over natural resources, such as minerals and timber. In addition, the conflict has been complicated by the involvement of neighboring countries, such as Rwanda and Uganda, who have supported various armed groups in the country. The Congolese government, with the support of the United Nations and other international partners, has made efforts to address the conflict and promote stability in the country, including through peacekeeping operations and efforts to disarm and reintegrate armed groups. However, the conflict remains a significant challenge for the country and the region."
75,Civil War,"1,000 to 10,000","Ethiopia has been experiencing a complex conflict with roots in long standing political, ethnic, and economic tensions. The conflict initially began in the Tigray region in November 2020, when the Ethiopian government launched a military operation against the Tigray People's Liberation Front (TPLF), the regional ruling party. The conflict has since spread to other regions of the country and has involved multiple ethnic groups, with accusations of atrocities and human rights abuses on both sides. The conflict has also been exacerbated by factors such as economic grievances, the role of neighboring countries, and the country's fragile democratic institutions. The Ethiopian government has declared a ceasefire in Tigray and called for dialogue with the TPLF, but the situation remains volatile and the conflict continues to have significant humanitarian consequences."
