country,lifetime_physical_or_sexual_intimate_partner_violence,lastyear_physical_or_sexual_intimate_partner_violence,lifetime_non_partner_sexual_violence,child_marriage,female_genital_mutilation,reports
Afghanistan,0.508,0.461,,0.283,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/afghanistan/afghanistan%20srvaw.pdf?vs=2210'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/afghanistan/afghanistan%20cedaw%20co.pdf?vs=1903'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/afghanistan/afghanistan%20upr%20wg%20report.pdf?vs=2039'}]"
Albania,0.21,0.082,0.013,0.118,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/albania/albania%20cedaw%20co.pdf?vs=3945'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/albania/albania%20upr%20wg%20report.pdf?vs=3959'}]"
Algeria,,,,0.038,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/algeria/algeria%20srvaw.pdf?vs=5933'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/algeria/algeria%20cedaw%20co.pdf?vs=5845'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/algeria/algeria%20upr%20wg%20report.pdf?vs=21'}]"
Andorra,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/andorra/andorra%20cedaw%20co.pdf?vs=4049'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/andorra/andorra%20upr%20wg%20report.pdf?vs=4122'}]"
Angola,0.348,0.259,,0.303,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/angola/angola%20cedaw%20co.pdf?vs=156'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/angola/angola%20upr%20wg%20report.pdf?vs=245'}]"
Antigua and Barbuda,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/antigua%20and%20barbuda/antigua%20and%20barbuda%20cedaw%20co.pdf?vs=148'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/antigua%20and%20barbuda/antigua%20and%20barbuda%20upr%20wg.pdf?vs=159'}]"
Argentina,0.269,0.027,0.121,0.155,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/argentina/argentina%20cedaw%20co.pdf?vs=226'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/argentina/argentina%20upr%20wg%20report.pdf?vs=238'}]"
Armenia,0.082,0.035,,0.053,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/armenia/armenia%20cedaw%20co.pdf?vs=1515'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/armenia/armenia%20upr%20wg%20report.pdf?vs=1503'}]"
Australia,0.228,0.022,0.1,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/australia/australia%20cedaw%20co.pdf?vs=501'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/australia/australia%20upr%20wg%20report.pdf?vs=1139'}]"
Austria,0.13,0.03,0.04,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/austria/austria%20cedaw%20co.pdf?vs=4222'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/austria/austria%20upr%20wg%20report.pdf?vs=4303'}]"
